,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Var_JOAQUIN_DIAZ_MENA,Var_RENAN_BARRERA_CONCHA,Var_VIDA_ARAVARI_GOMEZ_HERRERA,Var_YAMIL_JASMIN_LOPEZ_MANRIQUE,Var_VOTOS_NULOS_CAND_NO_REGIS
0,100,500,0.0004917313985040008,0.0004809171808160004,7.021969189999993e-05,1.0400557820000005e-05,4.1532255784e-05
1,100,1000,0.00024440911207200013,0.000238659032542,3.452272347800002e-05,5.061031673999996e-06,2.0462641511999987e-05
2,100,2000,0.00011911744005200012,0.00011639961042999997,1.6912214400750006e-05,2.474445606999999e-06,9.999256802750016e-06
3,100,5000,4.405000261404003e-05,4.296175955615996e-05,6.300612350519999e-06,9.129480099200009e-07,3.7020319689600003e-06
4,100,10000,1.9114533581780018e-05,1.8619394611770014e-05,2.7074115713599994e-06,3.9230451059000005e-07,1.6113132762000014e-06
5,100,20000,6.6354012777500006e-06,6.475536254372501e-06,9.487340246825005e-07,1.3659739445999994e-07,5.604272383849998e-07
6,150,500,0.0004946285900640008,0.0004825292408160002,7.001203792399995e-05,1.0405441012000011e-05,4.144099163200002e-05
7,150,1000,0.0002456055576340007,0.00024005831304200012,3.489078014099995e-05,5.071406057000005e-06,2.0621995914000005e-05
8,150,2000,0.00012082796320324993,0.00011820833946475006,1.719946445550002e-05,2.5228383185000045e-06,1.0218988351000001e-05
9,150,5000,4.610640320039992e-05,4.499174507976001e-05,6.485142299799998e-06,9.701023677199994e-07,3.8840818213600015e-06
10,150,10000,2.1028460989519994e-05,2.0563889425719984e-05,2.9995428057199945e-06,4.381720632599998e-07,1.770082340199999e-06
11,150,20000,8.583451460794983e-06,8.37463453808001e-06,1.2206210391225015e-06,1.7874936012000013e-07,7.245215823125e-07
12,200,500,0.0004959650442600005,0.00048377862148400014,7.033819895200003e-05,1.0244992552000007e-05,4.183027461599997e-05
13,200,1000,0.0002464072380530004,0.00024059765231899976,3.512385654900002e-05,5.159767925999998e-06,2.0784503773000007e-05
14,200,2000,0.00012204449712175019,0.00011893077407724996,1.730822009625001e-05,2.558058127250001e-06,1.025117572149999e-05
15,200,5000,4.700038808875995e-05,4.5890540481159905e-05,6.6863608952400044e-06,9.846794879999996e-07,3.941989056279997e-06
16,200,10000,2.203873962563005e-05,2.150349753295001e-05,3.1389123068500015e-06,4.589823178999998e-07,1.8503550650899973e-06
17,200,20000,9.566816201277492e-06,9.329951849724982e-06,1.3599112140750013e-06,1.996601875874999e-07,8.070558364750005e-07
18,250,500,0.0004969372049640002,0.0004843625598839996,7.0428654464e-05,1.0410374068000012e-05,4.184236858000005e-05
19,250,1000,0.0002467418884100005,0.00024120289423700013,3.505377046799996e-05,5.1406546869999985e-06,2.0794807228e-05
20,250,2000,0.00012205743163950036,0.00011921817662149997,1.7413816044249977e-05,2.561430071499999e-06,1.0277324421749984e-05
21,250,5000,4.759452902407992e-05,4.647449714756002e-05,6.728476194519993e-06,9.984016017600016e-07,3.995066779679999e-06
22,250,10000,2.2662138815969994e-05,2.2100954486230002e-05,3.214449430969998e-06,4.726982299700002e-07,1.902385489240001e-06
23,250,20000,1.0163477340812503e-05,9.899817153262495e-06,1.4440971546150009e-06,2.1205507521999996e-07,8.539757920300005e-07
24,300,500,0.0004971873796520005,0.0004848095525360002,7.070412646400003e-05,1.0361763528000014e-05,4.179180046799992e-05
25,300,1000,0.00024729801173200053,0.0002415854855,3.5161418936999936e-05,5.1783832439999975e-06,2.0822283027000014e-05
26,300,2000,0.0001228089260430002,0.00011997649868250011,1.7424150267500006e-05,2.5791924539999976e-06,1.0312606378499998e-05
27,300,5000,4.789628301923998e-05,4.671900721563997e-05,6.832356855400002e-06,1.0017905827599997e-06,4.034103593599998e-06
28,300,10000,2.3004141655659993e-05,2.242504090163999e-05,3.261195855680003e-06,4.803998605299993e-07,1.931495747930005e-06
29,300,20000,1.05302961205025e-05,1.0274569992292494e-05,1.49539611892e-06,2.1958195976500003e-07,8.847932353449999e-07
30,350,500,0.0004981474028200003,0.00048590895597600014,7.0904465024e-05,1.0442354999999992e-05,4.180914544400005e-05
31,350,1000,0.00024767609373000044,0.00024201427643099984,3.5168934979e-05,5.168264470999999e-06,2.0796956768999994e-05
32,350,2000,0.00012315354947975023,0.00012022947143675028,1.7523817218749995e-05,2.595668957750001e-06,1.0351347354000002e-05
33,350,5000,4.8209611294399986e-05,4.7032822973039996e-05,6.859163404039994e-06,1.0069576797200004e-06,4.0518792116000045e-06
34,350,10000,2.328439589695001e-05,2.2750321761830014e-05,3.289656274319999e-06,4.867576162199997e-07,1.957354461819999e-06
35,350,20000,1.0822048255759981e-05,1.0557330134067504e-05,1.5346152605199975e-06,2.2559578457999982e-07,9.090168162975009e-07
36,400,500,0.0004970669927840003,0.0004853499992519995,7.047222246799997e-05,1.0395328708000007e-05,4.1796577956000005e-05
37,400,1000,0.00024768621217500044,0.0002416809054100001,3.515538804499999e-05,5.173317752000001e-06,2.0846071938000028e-05
38,400,2000,0.00012330095936075044,0.00012019791627350001,1.7457552747500012e-05,2.582470302749999e-06,1.0375598163000009e-05
39,400,5000,4.8502888876359986e-05,4.7385777852400026e-05,6.871956467440001e-06,1.0104972937199995e-06,4.0688819527199965e-06
40,400,10000,2.352130705651999e-05,2.2935407638510024e-05,3.326903546829994e-06,4.934478578399997e-07,1.9807588458200027e-06
41,400,20000,1.100478858684249e-05,1.0742947689289997e-05,1.5641246998650003e-06,2.321107196350004e-07,9.248133899974996e-07
